,user_id,date,meal_name,meal_idx,food name,num servings,calories,carbs,fat,protein,sodium,sugar,description,food_name,brand,flavor,serving_size
3235792,4920,9/15/2014,Breakfast,1,Trader Joes - Cooked/frozen Brown Rice Organic,1,200,43.66666667,1.333333333,5,0,0,"Trader Joes - Cooked/frozen Brown Rice Organic, 1 Cup (5 oz/142 g)",Cooked/frozen Brown Rice Organic,Trader Joes,,1 Cup (5 oz/142 g)
3235793,4920,9/15/2014,Breakfast,1,Trader Joe's Berry Medley,0.75,106.8333333,26.83333333,1.166666667,1.166666667,0,0,"Trader Joe's Berry Medley - berries, 3/4 cup",berries,Trader Joe's Berry Medley,,3/4 cup
3235794,4920,9/15/2014,Breakfast,1,Land O' Lakes - Unsalted Butter,1,100,0,11.5,0,0,0,"Land O' Lakes - Unsalted Butter, 1 tablespoon",Unsalted Butter,Land O' Lakes,,1 tablespoon
3235795,4920,9/15/2014,Lunch,2,Bell Pepper,1,30,8,0,1.5,0,0,"Bell Pepper - Pepper - Green, Red, Yellow - 1/2 Pepper, 1 pepper",Pepper,Bell Pepper,"Green, Red, Yellow",1 pepper
3235796,4920,9/15/2014,Lunch,2,Strawberries - Raw,1,53,13,0,1,2,8,"Strawberries - Raw, 1 cup, sliced","Raw, 1 cup",Strawberries,,sliced
3235797,4920,9/15/2014,Lunch,2,"Green Onion, Chopped",0.25,40,8,0,0,20,4,"Fresh - Green Onion, Chopped, 1/4 cup","Green Onion, Chopped",Fresh,,1/4 cup
3235798,4920,9/15/2014,Lunch,2,F & E - Fresh & Easy Boneless Skinless Chicken Thighs (Raw),1,130,0,5,22,100,0,"F & E - Fresh & Easy Boneless Skinless Chicken Thighs (Raw), 4 oz",Fresh & Easy Boneless Skinless Chicken Thighs (Raw),F & E,,4 oz
3235799,4920,9/15/2014,Lunch,2,Trader Joes - Cooked/frozen Brown Rice Organic,0.5,200,43.66666667,1.333333333,5,0,0,"Trader Joes - Cooked/frozen Brown Rice Organic, 0.5 Cup (5 oz/142 g)",Cooked/frozen Brown Rice Organic,Trader Joes,,0.5 Cup (5 oz/142 g)
3235800,4920,9/15/2014,Lunch,2,Dole - Shredded Red Cabbage,4.5,13.92592593,3.333333333,0,0.592592593,13.92592593,1.703703704,"Dole - Shredded Red Cabbage, 4.5 oz = 85g = about 1 cup",Shredded Red Cabbage,Dole,,4.5 oz = 85g = about 1 cup
3235801,4920,9/15/2014,Lunch,2,Land O' Lakes - Unsalted Butter,1,100,0,11.5,0,0,0,"Land O' Lakes - Unsalted Butter, 1 tablespoon",Unsalted Butter,Land O' Lakes,,1 tablespoon
3235802,4920,9/15/2014,Dinner,3,Romaine Lettuce,2,10,2,0,1.166666667,10,2,"Lettuce -  Romaine Lettuce, 2 cups", Romaine Lettuce,Lettuce,,2 cups
